"","ABERDEEN","14"
"","ACAMPO","39"
"","ACTON","19"
"","ADELAIDE","40"
"","ADELANTO","36"
"","ADIN","18"
"","ADIN","25"
"","AERIAL ACRES","15"
"","AFTON","11"
"","AGATE BAY","31"
"","AGOURA","19"
"","AGOURA","56"
"","AGOURA HILLS","19"
"","AGOURA HILLS","56"
"","AGUA CALIENTE","49"
"","AGUA DULCE","19"
"","AGUANGA","33"
"","AHWAHNEE","20"
"","ALABAMA HILLS","14"
"","ALAMEDA","01"
"","ALAMEDA PT","01"
"","ALAMO","07"
"","ALBANY","01"
"","ALBION","23"
"","ALDERPOINT","12"
"","ALEXANDER VALLEY","49"
"","ALHAMBRA","19"
"","ALISAL","27"
"","ALISO VIEJO","30"
"","ALLEGHANY","46"
"","ALLENDALE","48"
"","ALLENSWORTH","54"
"","ALMA","43"
"","ALMANOR","32"
"","ALPAUGH","54"
"","ALPINE","37"
"","ALPINE FOREST","15"
"","ALPINE MDWS","31"
"","ALPINE MEADOWS","31"
"","ALTA","31"
"","ALTA HILL","29"
"","ALTA LOMA","36"
"","ALTA SIERRA","29"
"","ALTADENA","19"
"","ALTAVILLE","05"
"","ALTURAS","25"
"","ALTURAS RANCHERIA","25"
"","ALVISO","43"
"","AMADOR CITY","03"
"","AMADOR STATION","02"
"","AMBOY","36"
"","AMERICAN CANYON","28"
"","AMERICAN CANYON","48"
"","AMERICAN CYN","28"
"","AMERICAN CYN","48"
"","ANAHEIM","30"
"","ANAHEIM HILLS","30"
"","ANCHOR BAY","23"
"","ANDERSON","45"
"","ANDERSON SPRINGS","17"
"","ANDRUS ISLAND","34"
"","ANGELS CAMP","05"
"","ANGELUS OAKS","36"
"","ANGWIN","28"
"","ANNAPOLIS","49"
"","ANTELOPE","34"
"","ANTIOCH","07"
"","ANZA","33"
"","APPLE VALLEY","36"
"","APPLEGATE","31"
"","APTOS","44"
"","ARBOGA","58"
"","ARBUCKLE","06"
"","ARCADIA","19"
"","ARCATA","12"
"","ARCO","19"
"","ARCO-PLAZA","19"
"","ARGUS","36"
"","ARLETA","19"
"","ARLINGTON","33"
"","ARMONA","16"
"","ARNOLD","05"
"","AROMAS","27"
"","AROMAS","35"
"","ARROWBEAR","36"
"","ARROWBEAR LAKE","36"
"","ARROWBEAR LK","36"
"","ARROWHED FARM","36"
"","ARROYO GRANDE","40"
"","ARTESIA","19"
"","ARTOIS","11"
"","ARVIN","15"
"","ASHLAND","01"
"","ASILOMAR","27"
"","ASTI","49"
"","ATASCADERO","40"
"","ATHENS","19"
"","ATHERTON","41"
"","ATWATER","24"
"","ATWOOD","30"
"","AUBERRY","10"
